INFO:root:server started
INFO:root:new worker connected
INFO:root:delegating col 0
INFO:root:col 0 processed
INFO:root:delegating col 1
INFO:root:worker disconnected
INFO:root:progress saved
INFO:root:server started
INFO:root:new worker connected
INFO:root:delegating col 1
INFO:root:col 1 processed
INFO:root:delegating col 2
INFO:root:col 2 processed
INFO:root:delegating col 3
INFO:root:col 3 processed
INFO:root:delegating col 4
INFO:root:col 4 processed
INFO:root:delegating col 5
INFO:root:col 5 processed
INFO:root:delegating col 6
INFO:root:col 6 processed
INFO:root:delegating col 7
INFO:root:col 7 processed
INFO:root:delegating col 8
INFO:root:col 8 processed
INFO:root:delegating col 9
INFO:root:col 9 processed
INFO:root:delegating col 10
INFO:root:col 10 processed
INFO:root:delegating col 11
INFO:root:col 11 processed
INFO:root:delegating col 12
INFO:root:col 12 processed
INFO:root:delegating col 13
INFO:root:col 13 processed
INFO:root:delegating col 14
INFO:root:col 14 processed
INFO:root:delegating col 15
INFO:root:col 15 processed
INFO:root:delegating col 16
INFO:root:col 16 processed
INFO:root:delegating col 17
INFO:root:col 17 processed
INFO:root:delegating col 18
INFO:root:col 18 processed
INFO:root:delegating col 19
INFO:root:col 19 processed
INFO:root:delegating col 20
INFO:root:col 20 processed
INFO:root:delegating col 21
INFO:root:col 21 processed
INFO:root:delegating col 22
INFO:root:col 22 processed
INFO:root:delegating col 23
INFO:root:col 23 processed
INFO:root:delegating col 24
INFO:root:col 24 processed
INFO:root:delegating col 25
INFO:root:col 25 processed
INFO:root:delegating col 26
INFO:root:col 26 processed
INFO:root:delegating col 27
INFO:root:col 27 processed
INFO:root:delegating col 28
INFO:root:col 28 processed
INFO:root:delegating col 29
INFO:root:col 29 processed
INFO:root:delegating col 30
INFO:root:col 30 processed
INFO:root:delegating col 31
INFO:root:col 31 processed
INFO:root:delegating col 32
INFO:root:col 32 processed
INFO:root:delegating col 33
INFO:root:col 33 processed
INFO:root:delegating col 34
INFO:root:col 34 processed
INFO:root:delegating col 35
INFO:root:col 35 processed
INFO:root:delegating col 36
INFO:root:col 36 processed
INFO:root:delegating col 37
INFO:root:col 37 processed
INFO:root:delegating col 38
INFO:root:col 38 processed
INFO:root:delegating col 39
INFO:root:col 39 processed
INFO:root:delegating col 40
INFO:root:col 40 processed
INFO:root:delegating col 41
INFO:root:col 41 processed
INFO:root:delegating col 42
INFO:root:col 42 processed
INFO:root:delegating col 43
INFO:root:col 43 processed
INFO:root:delegating col 44
INFO:root:col 44 processed
INFO:root:delegating col 45
INFO:root:worker disconnected, returning col 45
INFO:root:new worker connected
INFO:root:delegating col 45
INFO:root:col 45 processed
INFO:root:delegating col 46
INFO:root:col 46 processed
INFO:root:delegating col 47
INFO:root:col 47 processed
INFO:root:delegating col 48
INFO:root:col 48 processed
INFO:root:delegating col 49
INFO:root:col 49 processed
INFO:root:delegating col 50
INFO:root:col 50 processed
INFO:root:delegating col 51
INFO:root:worker disconnected, returning col 51
INFO:root:new worker connected
INFO:root:delegating col 51
INFO:root:col 51 processed
INFO:root:delegating col 52
INFO:root:col 52 processed
INFO:root:delegating col 53
INFO:root:col 53 processed
